number_points_sampled,mean_diff,sd_category,mean_category
1,3.6155638095238096,sd1,mean5
2,2.581297142857143,sd1,mean5
3,2.2690984126984124,sd1,mean5
4,2.025702857142857,sd1,mean5
5,1.7120114285714285,sd1,mean5
6,1.4281866666666665,sd1,mean5
7,1.5825512925170067,sd1,mean5
8,1.313872380952381,sd1,mean5
9,1.2404931216931216,sd1,mean5
10,1.2306228571428572,sd1,mean5
11,1.0478739393939396,sd1,mean5
12,1.0948120634920635,sd1,mean5
13,1.04709010989011,sd1,mean5
14,0.9738731972789114,sd1,mean5
15,0.9687377777777777,sd1,mean5
16,0.9353095238095238,sd1,mean5
17,0.9335146218487395,sd1,mean5
18,0.8526169312169312,sd1,mean5
19,0.9071260150375939,sd1,mean5
20,0.8464361904761906,sd1,mean5
21,0.931592290249433,sd1,mean5
22,0.8063821645021644,sd1,mean5
23,0.7584363561076605,sd1,mean5
24,0.847783492063492,sd1,mean5
25,0.8125447619047619,sd1,mean5
26,0.681788717948718,sd1,mean5
27,0.6670658201058202,sd1,mean5
28,0.6959967346938775,sd1,mean5
29,0.6487100821018063,sd1,mean5
30,0.7493726984126984,sd1,mean5
31,0.658883133640553,sd1,mean5
32,0.653017619047619,sd1,mean5
33,0.6957583261183262,sd1,mean5
34,0.7020270028011205,sd1,mean5
35,0.6147474829931973,sd1,mean5
36,0.626770582010582,sd1,mean5
37,0.5960253796653797,sd1,mean5
38,0.6505814536340851,sd1,mean5
39,0.5586148473748473,sd1,mean5
40,0.5941390476190477,sd1,mean5
1,3.9301180952380954,sd2,mean5
2,2.6590285714285717,sd2,mean5
3,2.20131873015873,sd2,mean5
4,1.9276952380952381,sd2,mean5
5,1.6357676190476191,sd2,mean5
6,1.4616057142857142,sd2,mean5
7,1.4859156462585033,sd2,mean5
8,1.4597790476190475,sd2,mean5
9,1.2213138624338624,sd2,mean5
10,1.1975619047619048,sd2,mean5
11,1.1585277922077923,sd2,mean5
12,1.062047619047619,sd2,mean5
13,1.0628613919413918,sd2,mean5
14,0.9959893877551019,sd2,mean5
15,0.9636317460317461,sd2,mean5
16,0.9395304761904762,sd2,mean5
17,0.8425915966386555,sd2,mean5
18,0.8834624338624337,sd2,mean5
19,0.8842754887218045,sd2,mean5
20,0.80492,sd2,mean5
21,0.8809279818594103,sd2,mean5
22,0.7610947186147186,sd2,mean5
23,0.802263933747412,sd2,mean5
24,0.763695238095238,sd2,mean5
25,0.6987885714285714,sd2,mean5
26,0.7196178754578755,sd2,mean5
27,0.708249241622575,sd2,mean5
28,0.7064612244897959,sd2,mean5
29,0.6801242036124795,sd2,mean5
30,0.627751111111111,sd2,mean5
31,0.6600913056835638,sd2,mean5
32,0.6283342857142857,sd2,mean5
33,0.6866576623376623,sd2,mean5
34,0.6150171428571428,sd2,mean5
35,0.6598097959183673,sd2,mean5
36,0.5890510052910053,sd2,mean5
37,0.6265654568854568,sd2,mean5
38,0.667911679197995,sd2,mean5
39,0.6084736507936508,sd2,mean5
40,0.6256209523809524,sd2,mean5
1,3.671204761904762,sd3,mean5
2,2.6950485714285715,sd3,mean5
3,2.0161666666666664,sd3,mean5
4,1.8265609523809525,sd3,mean5
5,1.5995209523809524,sd3,mean5
6,1.4846212698412695,sd3,mean5
7,1.3564749659863946,sd3,mean5
8,1.2835704761904763,sd3,mean5
9,1.1383895238095236,sd3,mean5
10,1.206012380952381,sd3,mean5
11,1.0816083982683984,sd3,mean5
12,1.031788253968254,sd3,mean5
13,1.0068821245421247,sd3,mean5
14,0.9736306122448979,sd3,mean5
15,0.9544561904761905,sd3,mean5
16,0.8562895238095238,sd3,mean5
17,0.8408233613445378,sd3,mean5
18,0.8634045502645502,sd3,mean5
19,0.7635119298245613,sd3,mean5
20,0.7866466666666667,sd3,mean5
21,0.7055636734693878,sd3,mean5
22,0.707098961038961,sd3,mean5
23,0.7869173913043478,sd3,mean5
24,0.7454790476190476,sd3,mean5
25,0.6987571428571429,sd3,mean5
26,0.6975622710622711,sd3,mean5
27,0.6813030335097001,sd3,mean5
28,0.775278231292517,sd3,mean5
29,0.6044701149425288,sd3,mean5
30,0.6779755555555554,sd3,mean5
31,0.6756137327188939,sd3,mean5
32,0.6053714285714286,sd3,mean5
33,0.6786726984126985,sd3,mean5
34,0.5921278991596639,sd3,mean5
35,0.6222874829931972,sd3,mean5
36,0.5936005291005291,sd3,mean5
37,0.6227132303732305,sd3,mean5
38,0.5813785964912281,sd3,mean5
39,0.5718931623931623,sd3,mean5
40,0.5684542857142857,sd3,mean5
1,5.1627857142857145,sd2,mean10
2,3.4262809523809525,sd2,mean10
3,2.7741603174603173,sd2,mean10
4,2.624410476190476,sd2,mean10
5,2.394271428571429,sd2,mean10
6,2.2508295238095237,sd2,mean10
7,1.8231165986394557,sd2,mean10
8,1.9470257142857144,sd2,mean10
9,1.8145721693121692,sd2,mean10
10,1.6458904761904762,sd2,mean10
11,1.439519393939394,sd2,mean10
12,1.4423514285714285,sd2,mean10
13,1.381429816849817,sd2,mean10
14,1.3902613605442176,sd2,mean10
15,1.2870238095238096,sd2,mean10
16,1.3068285714285715,sd2,mean10
17,1.2471422408963586,sd2,mean10
18,1.262866984126984,sd2,mean10
19,1.092284962406015,sd2,mean10
20,1.1836428571428572,sd2,mean10
21,1.0681873469387755,sd2,mean10
22,1.091089264069264,sd2,mean10
23,1.0578339130434782,sd2,mean10
24,1.0691831746031746,sd2,mean10
25,1.0348828571428572,sd2,mean10
26,1.0582723076923077,sd2,mean10
27,1.0258998589065256,sd2,mean10
28,0.980984081632653,sd2,mean10
29,0.9223830870279147,sd2,mean10
30,0.9166301587301586,sd2,mean10
31,0.9293842396313364,sd2,mean10
32,0.8999823809523809,sd2,mean10
33,0.9240414141414142,sd2,mean10
34,0.883166218487395,sd2,mean10
35,0.8743859863945577,sd2,mean10
36,0.8435412698412699,sd2,mean10
37,0.9411109137709139,sd2,mean10
38,0.9031820050125312,sd2,mean10
39,0.7887156288156287,sd2,mean10
40,0.7609628571428572,sd2,mean10
1,4.873630476190476,sd4,mean10
2,3.4260952380952383,sd4,mean10
3,2.7240736507936503,sd4,mean10
4,2.5862438095238094,sd4,mean10
5,2.3047542857142855,sd4,mean10
6,2.0587073015873014,sd4,mean10
7,1.885957006802721,sd4,mean10
8,1.930272380952381,sd4,mean10
9,1.681636402116402,sd4,mean10
10,1.5945619047619048,sd4,mean10
11,1.4968185281385282,sd4,mean10
12,1.3618774603174604,sd4,mean10
13,1.320265934065934,sd4,mean10
14,1.2807918367346938,sd4,mean10
15,1.3458838095238095,sd4,mean10
16,1.205072380952381,sd4,mean10
17,1.2367757983193277,sd4,mean10
18,1.1956520634920635,sd4,mean10
19,1.1298042105263157,sd4,mean10
20,1.1496742857142856,sd4,mean10
21,1.112307664399093,sd4,mean10
22,1.034379393939394,sd4,mean10
23,0.9956933333333333,sd4,mean10
24,1.0661892063492064,sd4,mean10
25,0.96152,sd4,mean10
26,0.9219018315018315,sd4,mean10
27,0.954129947089947,sd4,mean10
28,0.9763684353741496,sd4,mean10
29,0.8608064367816092,sd4,mean10
30,0.8921409523809524,sd4,mean10
31,0.916032258064516,sd4,mean10
32,0.8833314285714285,sd4,mean10
33,0.8055626551226551,sd4,mean10
34,0.8618564705882353,sd4,mean10
35,0.864818775510204,sd4,mean10
36,0.8557595767195767,sd4,mean10
37,0.7868089060489061,sd4,mean10
38,0.839914185463659,sd4,mean10
39,0.7683434920634921,sd4,mean10
40,0.8082171428571429,sd4,mean10
1,4.731345714285714,sd6,mean10
2,3.4894257142857144,sd6,mean10
3,2.9594288888888887,sd6,mean10
4,2.581292380952381,sd6,mean10
5,2.208402857142857,sd6,mean10
6,2.0423342857142854,sd6,mean10
7,1.823541088435374,sd6,mean10
8,1.7340809523809524,sd6,mean10
9,1.6010261375661374,sd6,mean10
10,1.4869266666666667,sd6,mean10
11,1.4480866666666665,sd6,mean10
12,1.4401819047619047,sd6,mean10
13,1.4121967032967033,sd6,mean10
14,1.3462161904761905,sd6,mean10
15,1.2908193650793651,sd6,mean10
16,1.2682133333333334,sd6,mean10
17,1.2054281792717088,sd6,mean10
18,1.253044126984127,sd6,mean10
19,1.0683459147869674,sd6,mean10
20,1.0283952380952381,sd6,mean10
21,1.1307544217687076,sd6,mean10
22,1.0299694372294372,sd6,mean10
23,1.0306546997929606,sd6,mean10
24,1.0063755555555556,sd6,mean10
25,1.0035761904761906,sd6,mean10
26,0.9208207326007325,sd6,mean10
27,0.940474250440917,sd6,mean10
28,0.967328843537415,sd6,mean10
29,0.9322097536945813,sd6,mean10
30,0.8966790476190476,sd6,mean10
31,0.9092434101382489,sd6,mean10
32,0.9176304761904762,sd6,mean10
33,0.903384733044733,sd6,mean10
34,0.8395225210084034,sd6,mean10
35,0.8060477551020409,sd6,mean10
36,0.8977097354497355,sd6,mean10
37,0.8106886743886744,sd6,mean10
38,0.789301604010025,sd6,mean10
39,0.8141617338217338,sd6,mean10
40,0.8070771428571429,sd6,mean10
1,6.972241904761905,sd4,mean20
2,4.703321904761904,sd4,mean20
3,4.030370158730158,sd4,mean20
4,3.5058133333333332,sd4,mean20
5,3.2541885714285717,sd4,mean20
6,2.749485714285714,sd4,mean20
7,2.5692756462585034,sd4,mean20
8,2.421390476190476,sd4,mean20
9,2.351627513227513,sd4,mean20
10,1.987335238095238,sd4,mean20
11,2.0918076190476187,sd4,mean20
12,2.018998095238095,sd4,mean20
13,1.842541978021978,sd4,mean20
14,1.7936704761904763,sd4,mean20
15,1.5682234920634919,sd4,mean20
16,1.7708133333333334,sd4,mean20
17,1.650946442577031,sd4,mean20
18,1.6400114285714285,sd4,mean20
19,1.6796195488721803,sd4,mean20
20,1.7216285714285715,sd4,mean20
21,1.5211753287981857,sd4,mean20
22,1.389988225108225,sd4,mean20
23,1.3868154037267082,sd4,mean20
24,1.4417568253968254,sd4,mean20
25,1.423137142857143,sd4,mean20
26,1.3488868864468864,sd4,mean20
27,1.3413902645502644,sd4,mean20
28,1.3107385034013606,sd4,mean20
29,1.2526590476190478,sd4,mean20
30,1.2244349206349205,sd4,mean20
31,1.2984608294930877,sd4,mean20
32,1.1898838095238096,sd4,mean20
33,1.1866847907647908,sd4,mean20
34,1.2813539495798318,sd4,mean20
35,1.2598266666666667,sd4,mean20
36,1.1204941798941799,sd4,mean20
37,1.1284256885456887,sd4,mean20
38,1.1531856641604008,sd4,mean20
39,1.050190866910867,sd4,mean20
40,1.1073238095238096,sd4,mean20
1,6.720865714285714,sd8,mean20
2,4.624079047619047,sd8,mean20
3,3.7925958730158724,sd8,mean20
4,3.287439047619048,sd8,mean20
5,2.9400904761904765,sd8,mean20
6,2.6740568253968253,sd8,mean20
7,2.475111428571428,sd8,mean20
8,2.4603361904761907,sd8,mean20
9,2.1983319576719573,sd8,mean20
10,2.110762857142857,sd8,mean20
11,1.9727689177489176,sd8,mean20
12,1.8559126984126986,sd8,mean20
13,1.9536242490842493,sd8,mean20
14,1.7315487074829932,sd8,mean20
15,1.7642542857142858,sd8,mean20
16,1.8071542857142857,sd8,mean20
17,1.7078533893557424,sd8,mean20
18,1.508320529100529,sd8,mean20
19,1.5465260651629074,sd8,mean20
20,1.603612380952381,sd8,mean20
21,1.4261354648526077,sd8,mean20
22,1.4324182683982685,sd8,mean20
23,1.510443354037267,sd8,mean20
24,1.4120263492063492,sd8,mean20
25,1.3794085714285715,sd8,mean20
26,1.315716556776557,sd8,mean20
27,1.3568357319223985,sd8,mean20
28,1.2598749659863946,sd8,mean20
29,1.1758961247947453,sd8,mean20
30,1.218084761904762,sd8,mean20
31,1.2300415668202767,sd8,mean20
32,1.2497604761904761,sd8,mean20
33,1.1791980086580085,sd8,mean20
34,1.1795712605042015,sd8,mean20
35,1.1638107482993199,sd8,mean20
36,1.1829302645502646,sd8,mean20
37,1.2145088030888032,sd8,mean20
38,1.1143275689223058,sd8,mean20
39,1.0244116971916972,sd8,mean20
40,1.0551057142857143,sd8,mean20
1,6.498005714285714,sd12,mean20
2,4.518586666666667,sd12,mean20
3,3.474653968253968,sd12,mean20
4,3.0709161904761904,sd12,mean20
5,2.7186057142857143,sd12,mean20
6,2.664987936507936,sd12,mean20
7,2.2684312925170067,sd12,mean20
8,2.240777142857143,sd12,mean20
9,2.188468783068783,sd12,mean20
10,1.9609333333333334,sd12,mean20
11,1.9653302164502164,sd12,mean20
12,1.8259549206349206,sd12,mean20
13,1.6394637362637363,sd12,mean20
14,1.7237937414965985,sd12,mean20
15,1.6173199999999999,sd12,mean20
16,1.5650580952380952,sd12,mean20
17,1.5066317086834735,sd12,mean20
18,1.4442584126984126,sd12,mean20
19,1.4683714285714282,sd12,mean20
20,1.4445599999999998,sd12,mean20
21,1.440581133786848,sd12,mean20
22,1.4052277056277056,sd12,mean20
23,1.343447950310559,sd12,mean20
24,1.2920838095238096,sd12,mean20
25,1.1645466666666668,sd12,mean20
26,1.1952672527472528,sd12,mean20
27,1.2517875837742505,sd12,mean20
28,1.2074639455782314,sd12,mean20
29,1.1560818390804597,sd12,mean20
30,1.1006831746031744,sd12,mean20
31,1.055723870967742,sd12,mean20
32,1.1353895238095237,sd12,mean20
33,1.0054511399711399,sd12,mean20
34,1.0431031932773112,sd12,mean20
35,1.0254976870748298,sd12,mean20
36,1.0078664550264549,sd12,mean20
37,1.059219305019305,sd12,mean20
38,1.0134146365914787,sd12,mean20
39,1.0840118192918193,sd12,mean20
40,1.0268266666666668,sd12,mean20
1,7.759963809523809,sd6,mean30
2,5.687744761904762,sd6,mean30
3,4.575128253968254,sd6,mean30
4,4.125940952380953,sd6,mean30
5,3.572906666666667,sd6,mean30
6,3.342295873015873,sd6,mean30
7,2.929989931972789,sd6,mean30
8,2.6530209523809525,sd6,mean30
9,2.9718302645502646,sd6,mean30
10,2.541127619047619,sd6,mean30
11,2.4437693506493505,sd6,mean30
12,2.3654596825396825,sd6,mean30
13,2.0522300366300366,sd6,mean30
14,2.1611061224489796,sd6,mean30
15,2.0481434920634918,sd6,mean30
16,2.014674285714286,sd6,mean30
17,1.946563137254902,sd6,mean30
18,1.841465185185185,sd6,mean30
19,1.810667268170426,sd6,mean30
20,1.8127447619047619,sd6,mean30
21,1.6795434013605441,sd6,mean30
22,1.6098145454545456,sd6,mean30
23,1.6373917184265012,sd6,mean30
24,1.6927180952380954,sd6,mean30
25,1.4997333333333334,sd6,mean30
26,1.3977060805860804,sd6,mean30
27,1.4986340035273369,sd6,mean30
28,1.525171156462585,sd6,mean30
29,1.426157175697865,sd6,mean30
30,1.4234844444444446,sd6,mean30
31,1.4081222119815668,sd6,mean30
32,1.3676619047619045,sd6,mean30
33,1.4070561038961038,sd6,mean30
34,1.410101736694678,sd6,mean30
35,1.3144274829931972,sd6,mean30
36,1.3223534391534395,sd6,mean30
37,1.3418819047619048,sd6,mean30
38,1.3206444110275688,sd6,mean30
39,1.2546954334554334,sd6,mean30
40,1.2624647619047618,sd6,mean30
1,7.977552380952381,sd12,mean30
2,5.186224761904762,sd12,mean30
3,4.384286984126984,sd12,mean30
4,3.7358761904761906,sd12,mean30
5,3.436430476190476,sd12,mean30
6,3.12835746031746,sd12,mean30
7,2.737401360544218,sd12,mean30
8,2.6356133333333336,sd12,mean30
9,2.553351746031746,sd12,mean30
10,2.2349295238095235,sd12,mean30
11,2.202731601731602,sd12,mean30
12,2.1024711111111114,sd12,mean30
13,2.1212230036630038,sd12,mean30
14,2.1227820408163267,sd12,mean30
15,2.0574806349206347,sd12,mean30
16,1.9395780952380954,sd12,mean30
17,1.878840336134454,sd12,mean30
18,1.784833015873016,sd12,mean30
19,1.6459933834586464,sd12,mean30
20,1.6642057142857143,sd12,mean30
21,1.6215704308390024,sd12,mean30
22,1.6117205194805198,sd12,mean30
23,1.5973988405797104,sd12,mean30
24,1.5225695238095238,sd12,mean30
25,1.504565714285714,sd12,mean30
26,1.489536117216117,sd12,mean30
27,1.4244346384479716,sd12,mean30
28,1.4426609523809524,sd12,mean30
29,1.394014975369458,sd12,mean30
30,1.4593726984126987,sd12,mean30
31,1.4220469431643623,sd12,mean30
32,1.4656671428571428,sd12,mean30
33,1.2823878787878789,sd12,mean30
34,1.2770504201680672,sd12,mean30
35,1.4329153741496599,sd12,mean30
36,1.2649331216931219,sd12,mean30
37,1.3326242985842984,sd12,mean30
38,1.2136006015037595,sd12,mean30
39,1.1745971184371182,sd12,mean30
40,1.1695314285714284,sd12,mean30
1,6.790025714285714,sd18,mean30
2,5.022442857142857,sd18,mean30
3,4.2233882539682535,sd18,mean30
4,3.5657552380952384,sd18,mean30
5,3.2640638095238095,sd18,mean30
6,3.040917142857143,sd18,mean30
7,2.6995674829931975,sd18,mean30
8,2.655766666666667,sd18,mean30
9,2.4323114285714285,sd18,mean30
10,2.236517142857143,sd18,mean30
11,2.056352987012987,sd18,mean30
12,2.0801088888888892,sd18,mean30
13,1.9134531135531136,sd18,mean30
14,1.9820039455782312,sd18,mean30
15,1.8926796825396823,sd18,mean30
16,1.6873219047619048,sd18,mean30
17,1.6743132212885155,sd18,mean30
18,1.7623372486772486,sd18,mean30
19,1.6369581453634083,sd18,mean30
20,1.6453190476190476,sd18,mean30
21,1.6955088888888887,sd18,mean30
22,1.437956103896104,sd18,mean30
23,1.512076728778468,sd18,mean30
24,1.4826060317460317,sd18,mean30
25,1.4128409523809524,sd18,mean30
26,1.4614188278388278,sd18,mean30
27,1.4278210582010582,sd18,mean30
28,1.344848299319728,sd18,mean30
29,1.3903068965517242,sd18,mean30
30,1.2409971428571427,sd18,mean30
31,1.3281191705069124,sd18,mean30
32,1.2418271428571428,sd18,mean30
33,1.2414949206349208,sd18,mean30
34,1.1646716526610643,sd18,mean30
35,1.2116232653061223,sd18,mean30
36,1.2976873015873016,sd18,mean30
37,1.1510559330759331,sd18,mean30
38,1.11800015037594,sd18,mean30
39,1.1804028083028082,sd18,mean30
40,1.2003171428571429,sd18,mean30
